epoch 274 loss: 0.17823758274316787, elapse time: 5.776221752166748
epoch 275 loss: 0.18053606525063515, elapse time: 5.76320481300354
epoch 276 loss: 0.17940078526735306, elapse time: 5.758709907531738
epoch 277 loss: 0.17768681719899176, elapse time: 5.780629396438599
epoch 278 loss: 0.17562260031700133, elapse time: 5.7763283252716064
epoch 279 loss: 0.17624120488762857, elapse time: 5.750066757202148
epoch 280 loss: 0.17752456441521644, elapse time: 5.7765655517578125
epoch 281 loss: 0.17775671407580376, elapse time: 5.776801586151123
epoch 282 loss: 0.17703026831150054, elapse time: 5.772603511810303
epoch 283 loss: 0.17655721306800842, elapse time: 5.760148525238037
epoch 284 loss: 0.1782565601170063, elapse time: 5.773318767547607
epoch 285 loss: 0.1743691511452198, elapse time: 5.772278070449829
epoch 286 loss: 0.17972339689731598, elapse time: 5.766144752502441
epoch 287 loss: 0.1765499532222748, elapse time: 5.7771220207214355
epoch 288 loss: 0.17385154366493225, elapse time: 5.774365663528442
epoch 289 loss: 0.17488235235214233, elapse time: 5.768686532974243
epoch 290 loss: 0.17462868317961694, elapse time: 5.754893779754639
epoch 291 loss: 0.17549325078725814, elapse time: 5.7586915493011475
epoch 292 loss: 0.1741900071501732, elapse time: 5.762190580368042
epoch 293 loss: 0.17491521164774895, elapse time: 5.765190839767456
epoch 294 loss: 0.1716320224106312, elapse time: 5.76386022567749
epoch 295 loss: 0.1725090928375721, elapse time: 5.762664794921875
epoch 296 loss: 0.17680756002664566, elapse time: 5.776494979858398
epoch 297 loss: 0.17947230041027068, elapse time: 5.755575656890869
epoch 298 loss: 0.1753905914723873, elapse time: 5.764856815338135
epoch 299 loss: 0.1772224485874176, elapse time: 5.764625072479248
epoch 300 loss: 0.17318299040198326, elapse time: 5.768962621688843
epoch 301 loss: 0.17293524295091628, elapse time: 5.773437261581421
epoch 302 loss: 0.17650684341788292, elapse time: 5.778619766235352
epoch 303 loss: 0.1758721075952053, elapse time: 5.778787612915039
epoch 304 loss: 0.17327878773212432, elapse time: 5.764045238494873
epoch 305 loss: 0.17547437697649002, elapse time: 5.766608476638794
epoch 306 loss: 0.1871888279914856, elapse time: 5.773951530456543
epoch 307 loss: 0.17664179503917693, elapse time: 5.776839971542358
epoch 308 loss: 0.17700529098510742, elapse time: 5.772357225418091
epoch 309 loss: 0.18242305070161818, elapse time: 5.7585203647613525
epoch 310 loss: 0.17571428269147873, elapse time: 5.772709131240845
epoch 311 loss: 0.1715683378279209, elapse time: 5.760364770889282
epoch 312 loss: 0.17334814220666886, elapse time: 5.7516138553619385
epoch 313 loss: 0.17261629402637482, elapse time: 5.77823543548584
epoch 314 loss: 0.17484648227691652, elapse time: 5.776273727416992
epoch 315 loss: 0.17836203724145888, elapse time: 5.765966176986694
epoch 316 loss: 0.17699795961380005, elapse time: 5.7641003131866455
epoch 317 loss: 0.17438074052333832, elapse time: 5.776127815246582
epoch 318 loss: 0.17574905678629876, elapse time: 5.755547761917114
epoch 319 loss: 0.17414472326636316, elapse time: 5.770269393920898
epoch 320 loss: 0.1719990260899067, elapse time: 5.745349168777466
epoch 321 loss: 0.17355471029877662, elapse time: 5.77446985244751
epoch 322 loss: 0.17517716735601424, elapse time: 5.773886203765869
epoch 323 loss: 0.17546611726284028, elapse time: 5.758896350860596
epoch 324 loss: 0.17633948251605033, elapse time: 5.75765061378479
epoch 325 loss: 0.17368137016892432, elapse time: 5.773167848587036
epoch 326 loss: 0.17757932841777802, elapse time: 5.756652593612671
epoch 327 loss: 0.17472450211644172, elapse time: 5.773848056793213
epoch 328 loss: 0.1716703936457634, elapse time: 5.76796817779541
epoch 329 loss: 0.1741880565881729, elapse time: 5.749025344848633
epoch 330 loss: 0.17333578318357468, elapse time: 5.76507568359375
epoch 331 loss: 0.17697620168328285, elapse time: 5.774760723114014
epoch 332 loss: 0.17958469018340112, elapse time: 5.765516996383667
epoch 333 loss: 0.17371117696166039, elapse time: 5.784588098526001
epoch 334 loss: 0.17222950085997582, elapse time: 5.759881973266602
epoch 335 loss: 0.17538677677512168, elapse time: 5.752092361450195
epoch 336 loss: 0.16984980925917625, elapse time: 5.763806343078613
epoch 337 loss: 0.1756427951157093, elapse time: 5.786456108093262
epoch 338 loss: 0.17560358569025994, elapse time: 5.76546573638916
epoch 339 loss: 0.17881031036376954, elapse time: 5.756970405578613
epoch 340 loss: 0.17401828691363336, elapse time: 5.763596534729004
epoch 341 loss: 0.17123985141515732, elapse time: 5.752676248550415
epoch 342 loss: 0.17060694023966788, elapse time: 5.773014783859253
epoch 343 loss: 0.17056334093213082, elapse time: 5.766647577285767
epoch 344 loss: 0.1698162868618965, elapse time: 5.750547409057617
epoch 345 loss: 0.17119842395186424, elapse time: 5.757888078689575
epoch 346 loss: 0.17636381313204766, elapse time: 5.770878791809082
epoch 347 loss: 0.173196928948164, elapse time: 5.7462053298950195
epoch 348 loss: 0.17285003885626793, elapse time: 5.764836311340332
epoch 349 loss: 0.17223545908927917, elapse time: 5.772641658782959
epoch 350 loss: 0.16866803020238877, elapse time: 5.767096996307373
epoch 351 loss: 0.17033899798989297, elapse time: 5.768802642822266
epoch 352 loss: 0.17113610729575157, elapse time: 5.759295701980591
epoch 353 loss: 0.1712547153234482, elapse time: 5.767930030822754
epoch 354 loss: 0.1715325780212879, elapse time: 5.771503448486328
epoch 355 loss: 0.17187576815485955, elapse time: 5.774298906326294
epoch 356 loss: 0.17285749688744545, elapse time: 5.803891658782959
epoch 357 loss: 0.17180019468069077, elapse time: 5.753547430038452
epoch 358 loss: 0.17136330902576447, elapse time: 5.769559860229492
epoch 359 loss: 0.1728794239461422, elapse time: 5.774704694747925
epoch 360 loss: 0.1701436772942543, elapse time: 5.7683656215667725
epoch 361 loss: 0.1736604928970337, elapse time: 5.755223035812378
epoch 362 loss: 0.1712751343846321, elapse time: 5.76341438293457
epoch 363 loss: 0.17117678821086885, elapse time: 5.763094902038574
epoch 364 loss: 0.1690422348678112, elapse time: 5.756361246109009
epoch 365 loss: 0.17087447196245192, elapse time: 5.7669997215271
