imagen,modelo,pixeles_incendio,total_pixeles,porcentaje_incendio
14_San Juanito_Durango_bloque_59_x64_y384.tiff,model_final.pth,256,16384,1.5625
14_San Juanito_Durango_bloque_5_x128_y64.tiff,model_final.pth,1606,16384,9.8022
14_San Juanito_Durango_bloque_60_x128_y384.tiff,model_final.pth,146,16384,0.8911
14_San Juanito_Durango_bloque_61_x192_y384.tiff,model_final.pth,621,16384,3.7903
14_San Juanito_Durango_bloque_63_x320_y384.tiff,model_final.pth,1160,16384,7.0801
14_San Juanito_Durango_bloque_65_x448_y384.tiff,model_final.pth,106,16384,0.647
14_San Juanito_Durango_bloque_66_x512_y384.tiff,model_final.pth,132,16384,0.8057
14_San Juanito_Durango_bloque_68_x583_y384.tiff,model_final.pth,194,16384,1.1841
14_San Juanito_Durango_bloque_7_x256_y64.tiff,model_final.pth,1684,16384,10.2783
14_San Nicolas Esquiros_Guanajuato_bloque_13_x333_y64.tiff,model_final.pth,4808,16384,29.3457
14_San Nicolas Esquiros_Guanajuato_bloque_14_x0_y100.tiff,model_final.pth,3011,16384,18.3777
14_San Nicolas Esquiros_Guanajuato_bloque_16_x128_y100.tiff,model_final.pth,2034,16384,12.4146
14_San Nicolas Esquiros_Guanajuato_bloque_17_x192_y100.tiff,model_final.pth,2326,16384,14.1968
14_San Nicolas Esquiros_Guanajuato_bloque_7_x0_y64.tiff,model_final.pth,3435,16384,20.9656
14_San Nicolas Esquiros_Guanajuato_bloque_9_x128_y64.tiff,model_final.pth,5088,16384,31.0547
14_SanPedroLagunillas_Nayarit_bloque_12_x1088_y1280.tiff,model_final.pth,2030,16384,12.3901
14_SanPedroLagunillas_Nayarit_bloque_2_x1024_y512.tiff,model_final.pth,746,16384,4.5532
14_SanPedroLagunillas_Nayarit_bloque_3_x1088_y512.tiff,model_final.pth,966,16384,5.896
14_SanPedroLagunillas_Nayarit_bloque_9_x1408_y1216.tiff,model_final.pth,957,16384,5.8411
14_Zinapecuaro_Michoacan_bloque_1_x832_y704.tiff,model_final.pth,1275,16384,7.782
14_Zinapecuaro_Michoacan_bloque_3_x832_y768.tiff,model_final.pth,732,16384,4.4678
15_24_Candelaria2_Campeche_bloque_0_x0_y0.tiff,model_final.pth,7324,16384,44.7021
15_24_Candelaria2_Campeche_bloque_14_x512_y64.tiff,model_final.pth,3377,16384,20.6116
15_24_Candelaria2_Campeche_bloque_7_x448_y0.tiff,model_final.pth,5636,16384,34.3994
15_24_Candelaria_Campeche_bloque_17_x476_y64.tiff,model_final.pth,4656,16384,28.418
15_24_Candelaria_Campeche_bloque_18_x0_y128.tiff,model_final.pth,1146,16384,6.9946
15_24_Candelaria_Campeche_bloque_24_x384_y128.tiff,model_final.pth,9042,16384,55.188
15_24_Candelaria_Campeche_bloque_27_x128_y192.tiff,model_final.pth,516,16384,3.1494
15_24_Candelaria_Campeche_bloque_28_x192_y192.tiff,model_final.pth,1483,16384,9.0515
15_24_Candelaria_Campeche_bloque_29_x256_y192.tiff,model_final.pth,6466,16384,39.4653
15_24_Candelaria_Campeche_bloque_30_x320_y192.tiff,model_final.pth,11847,16384,72.3083
15_24_Candelaria_Campeche_bloque_35_x128_y256.tiff,model_final.pth,3114,16384,19.0063
15_24_Candelaria_Campeche_bloque_3_x192_y0.tiff,model_final.pth,11116,16384,67.8467
15_24_Candelaria_Campeche_bloque_40_x448_y256.tiff,model_final.pth,5356,16384,32.6904
15_24_Candelaria_Campeche_bloque_55_x256_y384.tiff,model_final.pth,4300,16384,26.2451
15_24_Candelaria_Campeche_bloque_61_x192_y402.tiff,model_final.pth,3362,16384,20.52
15_24_Candelaria_Campeche_bloque_64_x384_y402.tiff,model_final.pth,2397,16384,14.6301
15_24_Candelaria_Campeche_bloque_9_x0_y64.tiff,model_final.pth,2038,16384,12.439
15_24_División del Norte_Campeche_bloque_5_x64_y64.tiff,model_final.pth,6711,16384,40.9607
15_24_División del Norte_Campeche_bloque_8_x0_y86.tiff,model_final.pth,3431,16384,20.9412
15_24_El Aguacatal_Campeche_bloque_16_x64_y128.tiff,model_final.pth,4482,16384,27.356
15_24_El Aguacatal_Campeche_bloque_33_x0_y296.tiff,model_final.pth,2588,16384,15.7959
15_24_El Aguacatal_Campeche_bloque_37_x256_y296.tiff,model_final.pth,2707,16384,16.5222
15_24_El Aguacatal_Campeche_bloque_5_x320_y0.tiff,model_final.pth,1174,16384,7.1655
15_24_El Aguacatal_Campeche_bloque_6_x384_y0.tiff,model_final.pth,502,16384,3.064
15_24_Emiliano Zapata_Ciudad de México_bloque_13_x0_y192.tiff,model_final.pth,1129,16384,6.8909
15_24_Emiliano Zapata_Ciudad de México_bloque_16_x384_y192.tiff,model_final.pth,264,16384,1.6113
15_24_Emiliano Zapata_Ciudad de México_bloque_19_x576_y192.tiff,model_final.pth,2008,16384,12.2559
15_24_Emiliano Zapata_Ciudad de México_bloque_1_x640_y0.tiff,model_final.pth,1541,16384,9.4055
15_24_Emiliano Zapata_Ciudad de México_bloque_20_x640_y192.tiff,model_final.pth,1563,16384,9.5398
15_24_Emiliano Zapata_Ciudad de México_bloque_21_x704_y192.tiff,model_final.pth,830,16384,5.0659
