imagen,modelo,pixeles_incendio,total_pixeles,porcentaje_incendio
16_24_Emiliano Zapata2_Ciudad de México_bloque_5_x120_y64.tiff,model_best.pth,180,16384,1.0986
16_24_Emiliano Zapata_Ciudad de México_bloque_11_x64_y128.tiff,model_best.pth,3501,16384,21.3684
16_24_Emiliano Zapata_Ciudad de México_bloque_14_x218_y128.tiff,model_best.pth,5962,16384,36.3892
16_24_Emiliano Zapata_Ciudad de México_bloque_17_x128_y192.tiff,model_best.pth,7503,16384,45.7947
16_24_Emiliano Zapata_Ciudad de México_bloque_7_x128_y64.tiff,model_best.pth,4391,16384,26.8005
16_24_Emiliano Zapata_Ciudad de México_bloque_9_x218_y64.tiff,model_best.pth,4389,16384,26.7883
16_24_Huamuchil_Oaxaca_bloque_10_x128_y128.tiff,model_best.pth,6938,16384,42.3462
16_24_Huamuchil_Oaxaca_bloque_3_x149_y0.tiff,model_best.pth,1336,16384,8.1543
16_24_Huamuchil_Oaxaca_bloque_7_x149_y64.tiff,model_best.pth,3472,16384,21.1914
16_24_Huamuchil_Oaxaca_bloque_9_x64_y128.tiff,model_best.pth,8710,16384,53.1616
16_24_Las Choapas_Veracruz_bloque_14_x0_y208.tiff,model_best.pth,4951,16384,30.2185
16_24_Las Choapas_Veracruz_bloque_16_x128_y208.tiff,model_best.pth,2085,16384,12.7258
16_24_Las Choapas_Veracruz_bloque_17_x158_y208.tiff,model_best.pth,1957,16384,11.9446
16_24_Las Choapas_Veracruz_bloque_6_x0_y128.tiff,model_best.pth,2920,16384,17.8223
16_24_Santa Catarina Ayotzingo_Ciudad de México_bloque_24_x0_y192.tiff,model_best.pth,300,16384,1.8311
16_24_Santa Catarina Ayotzingo_Ciudad de México_bloque_25_x64_y192.tiff,model_best.pth,757,16384,4.6204
16_24_Santa Catarina Ayotzingo_Ciudad de México_bloque_26_x128_y192.tiff,model_best.pth,450,16384,2.7466
16_24_Santa Catarina Ayotzingo_Ciudad de México_bloque_35_x384_y256.tiff,model_best.pth,14,16384,0.0854
16_24_Santa Catarina Ayotzingo_Ciudad de México_bloque_37_x461_y256.tiff,model_best.pth,4,16384,0.0244
16_24_Santa Catarina Ayotzingo_Ciudad de México_bloque_43_x461_y317.tiff,model_best.pth,7,16384,0.0427
16_Cacalutla_Guerrero_bloque_10_x64_y128.tiff,model_best.pth,11466,16384,69.9829
16_Cacalutla_Guerrero_bloque_20_x308_y192.tiff,model_best.pth,2438,16384,14.8804
16_Cacalutla_Guerrero_bloque_2_x192_y0.tiff,model_best.pth,2836,16384,17.3096
16_Dr Domingo Chanona_Chiapas_bloque_16_x192_y128.tiff,model_best.pth,2019,16384,12.323
16_Dr Domingo Chanona_Chiapas_bloque_2_x128_y0.tiff,model_best.pth,7113,16384,43.4143
16_Dr Domingo Chanona_Chiapas_bloque_7_x0_y64.tiff,model_best.pth,4197,16384,25.6165
16_El Lobo_Querétaro_bloque_22_x128_y230.tiff,model_best.pth,1419,16384,8.6609
16_El Lobo_Querétaro_bloque_4_x207_y0.tiff,model_best.pth,465,16384,2.8381
16_El Lobo_Querétaro_bloque_6_x64_y64.tiff,model_best.pth,1300,16384,7.9346
16_González2_Tamaulipas_bloque_13_x448_y64.tiff,model_best.pth,4802,16384,29.3091
